order,story_id,title,subtitle,byline,private,show_sections
orden,id_historia,titulo,subtitulo,firma,privada,mostrar_secciones
0,final-project-arthi-pqoc,"Moche Maize Vessel ",Maize Stirrup Vessel from the Moche,"Sophia Amaral, Mary Henderson, Zoe Metz, Abby Caoile, and Sophie Kiss",,
