step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,detail-of-lanzon,0.5,0.5,1,,What is this object?,This object is the Lanzon Stela.,,,,,,,,
2,lanzon,0.5,0.5,1,,What does the shape represent?,"This spear like shape demonstrates the ambiguity of the Chavin artwork. ",,,,,,,,
3,detail-of-lanzon,0.5,0.5,1,,What is its use?,"To demonstrate power ",,,,,,,,
4,detail-of-lanzon,0.7783125062156617,0.3818028551369756,3.375,,Why are there snakes?,"The snakes represent predators in the Amazon jungle, to demonstrate strength and power.",,,,,,,,
5,detail-of-lanzon,0.495108315863033,0.3866987881442548,2.27255625,,Why are the eye looking straight up?,"The significance of eye looking straight up demonstrates looking up to the gods from below. ",,,,,,,,
