step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,vessel-angle,0.5199525264541306,0.5055779518164607,0.9000000000000001,,A Maize Vessel?,"The object is a terracotta ceramic vessel that showcases the maize deity Aiapæc, or Ai Apaec, from the Moche archaeological culture.
",,Learn more,final-project-arthi-pqoc-more-information.md,,,,,
2,map-of-moche-culture,0.5004389637956204,0.47435951784834274,0.9,,Where did the Moche archeological culture emerge?,"The Moche archaeological culture emerged along the north coast of present-day Peru, primarily in the river valleys that cut through the coastal desert. The heartland of Moche civilization was centered in the Moche and Chicama river valley, near the modern city of Trujillo. It was here that the Huaca del Sol (Temple of the Sun) and Huaca de la Luna (Temple of the Moon) were constructed. ",,Learn more,final-project-arthi-pqoc-learn-more.md,,,,,
3,vessel-right,0.341156664910661,0.3584178146583908,1.35,,What is the purpose of the stirrup spout in the Moche culture?,"The purpose of the stirrup spout in the Moche culture is to fill the vessel with liquid or to take liquid out of the vessel. There can be many different shapes and styles of the stirrup spouts, which are common among Moche vessels throughout history. This feature helps distinguish Moche ceramics from other cultures in Peru.
",,YouTube Video,final-project-arthi-pqoc-video-on-different.md,,,,,
4,vessel-angle,0.5276317657970241,0.6673524143033204,1.898327759197325,,How was the maize texture imprinted on the vessel?,"Moche ceramics are especially intricate and demonstrate elite craftsmanship. The detail in each kernel of corn, to the iris of the male figures, the attention to detail is evident. Regarding how these craftsmen actually accomplished these designs, many designs and vessels used actual objects to press a positive imprint, molds to create the shape of the vessel, slip was used as paint as well as a binding material, the ceramics were then fired, and then ultimately, if needed, painted again post-firing.",,,,,,,,
5,vessel-left,0.45648524836415966,0.5878506319757733,1.7761467889908258,,Why is the maize part of the object? What does maize signify?,"The object could signify Aiapæc, or Ai Apaec, the mythological anthropomorphic creator god, or Mochica. This deity contains fangs, a serpent belt, and ear adornments, and he travels through different worlds to ensure the continuation of nature’s cycles. He is frequently depicted in ceramic art as a form of worship. He often emerges from corn cobs, signifying agricultural fertility, sustenance, and transformation of nature (Museo Larco).",,Learn more,final-project-arthi-pqoc-step5-layer1.md,,,,,
6,vessel-front,0.5216298407453615,0.45975731833849337,4.126214046822743,,What is the significance of the face?,"The face depicted on the vessel likely represents a Moche maize deity, Aiapæc, or Ai Apaec is often pictured on Moche vessels as an intimidating feature, often having characteristics such as fangs and powerful facial expressions. Moche ceremonial vessels often pictured Aiapaec with maize together, similar to the way that this vessel does. ",,Learn more,final-project-arthi-pqoc-step6-layer1.md,,,,,
7,vessel-back,0.5,0.5,1,,References,"Click ""Learn More"" to see citations of the references used.",,Learn more,final-project-arthi-pqoc-step7-layer1.md,,,,,
